,炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),错误（钒铁(FeV50-B)）,钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C采收率
1100,7A05771             ,低合金    ,HRB400B    ,0.0,0.00065,,0.00025,,0.0,68350.0,,,,,,0.469,,0.012,0.016,0.0,0.036,0.0309,0.0271,0.0017,0.001,,,,15.0,0.0,0.0,0.0,0.0,30.0,0.0,25.0,0.0,0.0,0.0,0.0,75.0,0.0,1450.0,88.0,0.0,
1108,7A05763             ,低合金    ,HRB400B    ,0.0,0.00045,,0.00042,,0.0,69100.0,,,,,,0.471,,0.006,0.013,0.0,0.034,0.0043,0.0027,0.0,0.001,,,,15.0,0.0,0.0,0.0,0.0,30.0,0.0,50.0,0.0,0.0,0.0,0.0,90.0,0.0,1510.0,88.0,0.0,
1118,7A05753             ,低合金    ,HRB400B    ,0.0,0.00022,,0.0002,,0.001,72100.0,,,,,,0.471,,0.008,0.019,,0.037,0.0037,0.0015,0.0024,0.0,,,,47.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,1255.0,88.0,0.0,
1119,7A05752             ,低合金    ,HRB400B    ,0.0,0.00046,,0.00028,,0.001,75800.0,,,,,,0.481,,0.008,0.018,,0.037,0.0036,0.0014,0.0027,0.0,,,,14.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,1399.0,88.0,0.0,
1130,7A05741             ,低合金    ,HRB400B    ,0.0,0.00057,,0.00038,,0.0,75100.0,,,,,,0.473,,0.007,0.021,,0.033,0.0035,0.0013,0.0022,0.0,,,,6.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1460.0,132.0,0.0,
1140,7A05731             ,低合金    ,HRB400D    ,0.0,0.00075,,0.0002,,0.001,72350.0,,,,,,0.46,,0.006,0.016,,0.03,0.3678,0.2965,0.0026,0.0,,,,12.0,0.0,0.0,0.0,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,1500.0,88.0,0.0,
1178,7A05693             ,低合金    ,HRB400B    ,0.0,0.00059,,0.00031,,0.002,72950.0,,,,,,0.462,,0.006,0.015,,0.034,0.0037,0.0015,0.0021,0.0,,,,7.0,0.0,0.0,0.0,0.0,41.0,25.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,132.0,0.0,
1336,7A05535             ,低合金    ,HRB400B    ,0.0,0.00086,,0.00024,,0.002,70700.0,,,,,,0.466,,0.006,0.011,,0.033,0.0042,0.002,0.0026,0.0,,,,45.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,1520.0,132.0,0.0,
1349,7A05522             ,低合金    ,HRB400B    ,0.0,0.00057,,0.00038,,0.002,69200.0,,,,,,0.455,,0.005,0.013,,0.033,0.0036,0.0014,0.0022,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,0.0,50.0,0.0,0.0,0.0,0.0,85.0,0.0,1470.0,88.0,0.0,
1377,7A05494             ,低合金    ,HRB400B    ,0.0,0.0004,,0.00011,,0.001,70550.0,,,,,,0.493,,0.003,0.016,0.0,0.036,0.0047,0.0029,0.0,0.001,,,,45.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,90.0,0.0,1500.0,132.0,0.0,
1420,7A05451             ,低合金    ,HRB400B    ,0.0,0.00057,,0.00025,,0.001,68150.0,,,,,,0.461,,0.009,0.016,,0.032,0.0043,0.002,0.0029,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1500.0,0.0,0.0,
1456,7A05415             ,低合金    ,HRB400B    ,0.0,0.00037,,0.00018,,0.0,71850.0,,,,,,0.463,,0.007,0.014,,0.036,0.0037,0.0015,0.0028,0.0,,,,40.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,68.0,0.0,1350.0,132.0,0.0,
1518,7A05353             ,低合金    ,HRB400B    ,0.0,0.00036,,0.00027,,0.001,71000.0,,,,,,0.456,,0.009,0.023,,0.034,0.0039,0.0017,0.0024,0.0,,,,6.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,1400.0,0.0,0.0,
1519,7A05352             ,低合金    ,HRB400B    ,0.0,0.00053,,0.0003,,0.001,73600.0,,,,,,0.476,,0.01,0.021,,0.034,0.0037,0.0015,0.0028,0.0,,,,8.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,1530.0,0.0,0.0,
1529,7A05342             ,普碳      ,Q235       ,0.0,0.00103,,0.00022,,0.002,69900.0,,,,,,,,0.012,0.018,,0.003,0.0036,0.0015,0.003,0.0,,,0.0001,0.0,133.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,5.0,0.0,780.0,0.0,0.0,
1541,7A05330             ,低合金    ,HRB400D    ,0.0,0.00101,,0.0002,,0.002,71800.0,,,,,,0.453,,0.009,0.027,,0.031,0.0649,0.0544,0.0043,0.0,,,,14.0,0.0,0.0,30.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1470.0,88.0,0.0,
1553,7A05318             ,低合金    ,HRB400D    ,0.0,0.00104,,0.00032,,0.001,70950.0,,,,,,0.451,,0.005,0.02,0.0,0.034,0.0039,0.0025,0.0,0.001,,,,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,1600.0,88.0,20.0,
1581,7A05290             ,低合金    ,HRB500D    ,0.0,0.00166,,0.00023,,0.001,70000.0,,,,,,0.471,,0.009,0.027,,0.083,0.0044,0.0023,0.007,0.001,,,0.0002,0.0,0.0,78.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,119.0,0.0,1600.0,0.0,0.0,
1588,7A05283             ,低合金    ,HRB400B    ,0.0,0.00094,,0.00023,,0.004,81500.0,,,,,,0.46,,0.004,0.01,,0.033,0.0055,0.0033,0.0064,0.0,,,,15.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,200.0,0.0,0.0,75.0,0.0,1320.0,88.0,20.0,
1622,7A05249             ,低合金    ,HRB400B    ,0.0,0.00054,,0.00027,,0.001,75300.0,,,,,,0.462,,0.009,0.012,,0.036,0.004,0.0018,0.0036,0.0,,,,15.0,0.0,0.0,0.0,0.0,31.0,25.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,1450.0,88.0,0.0,
1624,7A05247             ,低合金    ,HRB400B    ,0.0,0.00065,,0.00026,,0.002,71400.0,,,,,,0.469,,0.008,0.018,,0.034,0.0051,0.0029,0.0034,0.0,,,,15.0,0.0,0.0,0.0,0.0,32.0,25.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,1440.0,88.0,0.0,
