,炉号,钢种,钢号,转炉终点温度,转炉终点C,转炉终点Mn,转炉终点S,转炉终点P,转炉终点Si,钢水净重,连铸正样C,连铸正样Mn,连铸正样S,连铸正样P,连铸正样Si,连铸正样Ceq_val,连铸正样Cr,连铸正样Ni_val,连铸正样Cu_val,连铸正样Nb_val,连铸正样V_val,连铸正样Alt_val,连铸正样Als_val,连铸正样Mo_val,连铸正样Ti_val,连铸正样N_val,连铸正样O_val,连铸正样B_val,氮化钒铁FeV55N11-A,低铝硅铁,钒氮合金(进口),钒铁(FeV50-A),错误（钒铁(FeV50-B)）,钒铁(FeV50-B),硅铝钙,硅铝合金FeAl30Si25,硅铝锰合金球,硅锰面（硅锰渣）,硅铁(合格块),硅铁FeSi75-B,石油焦增碳剂,锰硅合金FeMn64Si27(合格块),锰硅合金FeMn68Si18(合格块),碳化硅(55%),硅钙碳脱氧剂,C采收率
727,7A06143             ,低合金    ,HRB400B    ,1610.0,0.00038,,0.00034,,0.001,74400.0,0.0023,0.0129,0.00034,0.00023,0.0036,0.456,0.0014,0.006,0.011,,0.034,0.0037,0.0015,0.0025,0.0,,,,6.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,200.0,0.0,0.0,85.0,0.0,1320.0,132.0,0.0,1.02422602949701
733,7A06137             ,低合金    ,HRB400B    ,1653.0,0.00083,,0.00035,,0.002,66700.0,0.0022,0.0132,0.00034,0.00027,0.0038,0.453,0.0022,0.006,0.013,,0.034,0.004,0.0018,0.0021,0.0,,,,16.0,0.0,0.0,0.0,0.0,34.0,25.0,0.0,0.0,200.0,0.0,0.0,54.0,0.0,1370.0,132.0,0.0,1.1116961412056
738,7A06132             ,低合金    ,HRB400B    ,1675.0,0.0007,,0.0003,,0.002,75200.0,0.0023,0.0131,0.00027,0.00029,0.0037,0.462,0.0024,0.007,0.015,,0.034,0.0038,0.0016,0.0021,0.0,,,,16.0,0.0,0.0,0.0,0.0,33.0,25.0,0.0,0.0,200.0,0.0,0.0,68.0,0.0,1320.0,132.0,0.0,2.38140586797066
745,7A06125             ,低合金    ,HRB400B    ,1647.0,0.00044,,0.00027,,0.001,70800.0,0.0023,0.0127,0.00029,0.00034,0.0035,0.453,0.0022,0.006,0.013,,0.03,0.0038,0.0016,0.0024,0.0,,,,16.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,200.0,0.0,0.0,95.0,0.0,1420.0,132.0,0.0,1.79849273544782
752,7A06118             ,低合金    ,HRB400B    ,1625.0,0.00041,,0.00034,,0.002,74600.0,0.0024,0.0131,0.00033,0.00023,0.0036,0.471,0.0022,0.008,0.013,,0.032,0.0045,0.0023,0.0023,0.0,,,,17.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,200.0,0.0,0.0,95.0,0.0,1400.0,132.0,0.0,1.0207291979102
753,7A06117             ,低合金    ,HRB400B    ,1667.0,0.00044,,0.00033,,0.002,76850.0,0.0024,0.013,0.00032,0.00017,0.0034,0.468,0.0018,0.005,0.014,,0.031,0.0051,0.0028,0.0022,0.0,,,,15.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,200.0,0.0,0.0,95.0,0.0,1310.0,88.0,0.0,1.04770258588918
758,7A06112             ,低合金    ,HRB400B    ,1693.0,0.0008,,0.00025,,0.002,74000.0,0.0023,0.0128,0.00027,0.00025,0.0035,0.456,0.0021,0.007,0.012,,0.032,0.0039,0.0017,0.0017,0.0,,,,15.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,300.0,0.0,0.0,68.0,0.0,1252.0,88.0,20.0,1.0261435144632
760,7A06110             ,低合金    ,HRB400B    ,1653.0,0.00023,,0.0003,,0.002,70150.0,0.0023,0.013,0.00029,0.00041,0.0035,0.459,0.0021,0.009,0.013,,0.031,0.0039,0.0016,0.0017,0.0,,,,14.0,0.0,0.0,0.0,0.0,30.0,50.0,0.0,0.0,300.0,0.0,0.0,102.0,0.0,1179.0,88.0,0.0,2.22042534470238
767,7A06103             ,低合金    ,HRB400B    ,1677.0,0.0008,,0.00036,,0.002,64700.0,0.0024,0.0125,0.0003,0.00021,0.0033,0.459,0.0015,0.005,0.01,,0.031,0.0039,0.0017,0.0018,0.0,,,,15.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,1117.0,88.0,20.0,1.09716691807953
769,7A06101             ,低合金    ,HRB400B    ,1708.0,0.0011,,0.00025,,0.002,73350.0,0.0023,0.0133,0.00032,0.00031,0.0035,0.463,0.0019,0.007,0.012,,0.032,0.0038,0.0016,0.0018,0.0,,,,15.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,1460.0,88.0,20.0,1.02015734607752
789,7A06081             ,低合金    ,HRB400B    ,1698.0,0.00061,,0.00023,,0.002,72750.0,0.0024,0.0133,0.00025,0.00018,0.0035,0.473,0.0016,0.003,0.01,,0.031,0.0037,0.0015,0.0012,0.0,,,,15.0,0.0,0.0,0.0,0.0,31.0,25.0,0.0,0.0,200.0,0.0,0.0,85.0,0.0,1340.0,88.0,0.0,1.02663914563579
794,7A06076             ,低合金    ,HRB400B    ,1672.0,0.00057,,0.00025,,0.001,71700.0,0.0024,0.0136,0.00031,0.00042,0.0037,0.479,0.0021,0.004,0.01,,0.033,0.004,0.0018,0.0017,0.0,,,,8.0,0.0,0.0,0.0,0.0,40.0,25.0,0.0,0.0,200.0,0.0,0.0,95.0,0.0,1300.0,88.0,0.0,1.01309984694336
797,7A06073             ,低合金    ,HRB400B    ,1666.0,0.00048,,0.00037,,0.001,71000.0,0.0024,0.0129,0.00031,0.00025,0.0034,0.467,0.0026,0.006,0.011,,0.033,0.0039,0.0017,0.0019,0.0,,,,7.0,0.0,0.0,0.0,0.0,40.0,50.0,0.0,0.0,200.0,0.0,0.0,95.0,0.0,1250.0,88.0,0.0,1.06228382723559
802,7A06068             ,低合金    ,HRB400B    ,1666.0,0.0009,,0.00032,,0.002,68350.0,0.0023,0.0128,0.00033,0.00029,0.0035,0.458,0.0031,0.007,0.014,,0.032,0.0039,0.0017,0.0031,0.001,,,,6.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,1473.0,88.0,20.0,1.00042655266508
